,track_name,artist_name
693,mama (feat. nicki minaj & kanye west),kanye west
694,smuckers (feat. lil wayne & kanye west),kanye west
695,sunflower - spider-man: into the spider-verse,post malone
696,rockstar (feat. 21 savage),post malone
697,circles,post malone
698,congratulations,post malone
699,better now,post malone
700,wow.,post malone
701,i fall apart,post malone
702,psycho (feat. ty dolla $ign),post malone
703,goodbyes (feat. young thug),post malone
704,white iverson,post malone
705,go flex,post malone
706,candy paint,post malone
707,jackie chan,post malone
708,i like you (a happier song) (with doja cat),post malone
709,one right now (with the weeknd),post malone
710,take what you want (feat. ozzy osbourne & travis scott),post malone
711,fortnight (feat. post malone),post malone
712,stay,post malone
713,i had some help (feat. morgan wallen),post malone
714,hollywood's bleeding,post malone
715,chemical,post malone
716,feeling whitney,post malone
717,saint-tropez,post malone
718,enemies (feat. dababy),post malone
719,ball for me (feat. nicki minaj),post malone
720,motley crew,post malone
721,paranoid,post malone
722,deja vu,post malone
723,rich & sad,post malone
724,wolves (feat. post malone),post malone
725,no option,post malone
726,92 explorer,post malone
727,spicy (feat. post malone),post malone
728,die for me (feat. future & halsey),post malone
729,spoil my night (feat. swae lee),post malone
730,dial drunk (with post malone),post malone
731,this is what you came for,rihanna
732,we found love,rihanna
733,umbrella,rihanna
734,love the way you lie,rihanna
735,love on the brain,rihanna
736,needed me,rihanna
737,diamonds,rihanna
738,work,rihanna
739,stay,rihanna
740,wild thoughts (feat. rihanna & bryson tiller),rihanna
741,only girl (in the world),rihanna
742,fourfiveseconds,rihanna
743,s&m,rihanna
744,too good,rihanna
745,the monster,rihanna
746,don't stop the music,rihanna
747,bitch better have my money,rihanna
748,pon de replay,rihanna
749,take a bow,rihanna
750,disturbia,rihanna
751,where have you been,rihanna
752,loyalty. feat. rihanna.,rihanna
753,take care,rihanna
754,rude boy,rihanna
755,live your life,rihanna
756,can't remember to forget you (feat. rihanna),rihanna
757,kiss it better,rihanna
758,what's my name?,rihanna
759,run this town,rihanna
760,loveeeeeee song,rihanna
761,pour it up,rihanna
762,sos,rihanna
763,desperado,rihanna
764,lift me up - from black panther: wakanda forever - music from and inspired by,rihanna
765,hate that i love you,rihanna
766,sex with me,rihanna
767,man down,rihanna
768,unfaithful,rihanna
769,believe it,rihanna
770,shut up and drive,rihanna
771,you da one - album version (edited),rihanna
772,consideration,rihanna
773,california king bed,rihanna
774,woo,rihanna
775,princess of china,rihanna
776,who's that chick? (feat. rihanna),rihanna
777,love the way you lie (part ii) - pt. 2,rihanna
778,selfish (feat. rihanna),rihanna
779,rehab,rihanna
780,what now,rihanna
781,te amo,rihanna
782,"yeah, i said it",rihanna
783,russian roulette,rihanna
784,talk that talk - album version (edited),rihanna
785,lemon,rihanna
786,breakin' dishes,rihanna
787,same ol’ mistakes,rihanna
788,nobody's business,rihanna
789,lemon (feat. drake) - drake remix,rihanna
790,higher,rihanna
791,american oxygen,rihanna
792,"dancing in the dark - from the ""home"" soundtrack",rihanna
793,close to you,rihanna
794,james joint,rihanna
795,fly,rihanna
796,right now,rihanna
797,bad (feat. rihanna) - remix,rihanna
798,if it's lovin' that you want,rihanna
799,cheers (drink to that),rihanna
800,birthday cake - album version (edited),rihanna
801,skin,rihanna
802,nothing is promised (with rihanna),rihanna
803,we ride,rihanna
804,la canción,j balvin
805,i like it,j balvin
806,mi gente,j balvin
807,no me conoce - remix,j balvin
808,china,j balvin
809,x,j balvin
810,ritmo (bad boys for life),j balvin
811,otra vez (feat. j balvin),j balvin
812,un dia (one day),j balvin
813,loco contigo (feat. j. balvin & tyga),j balvin
814,que pretendes,j balvin
815,qué más pues?,j balvin
816,con altura,j balvin
817,downtown,j balvin
818,ahora dice,j balvin
819,rojo,j balvin
820,say my name,j balvin
821,relación - remix,j balvin
822,bonita,j balvin
823,una locura,j balvin
824,no es justo,j balvin
825,un peso,j balvin
826,am remix,j balvin
827,safari,j balvin
828,ginza,j balvin
829,azul,j balvin
830,in da getto,j balvin
831,morado,j balvin
832,baila baila baila - remix,j balvin
833,6 am,j balvin
834,si tu novio te deja sola,j balvin
835,que calor,j balvin
836,sigo extrañándote,j balvin
837,bum bum tam tam,j balvin
838,ay vamos,j balvin
839,agua (with j balvin),j balvin
840,indeciso,j balvin
841,contra la pared,j balvin
842,mi gente (feat. beyoncé),j balvin
843,hey ma (with pitbull & j balvin feat. camila cabello),j balvin
844,reggaeton,j balvin
845,poblado - remix,j balvin
846,amarillo,j balvin
847,quiero repetir,j balvin
848,x (feat. maluma & ozuna) - remix,j balvin
849,"i can’t get enough (benny blanco, selena gomez, j balvin, tainy)",j balvin
850,blanco,j balvin
851,familiar,j balvin
852,bobo,j balvin
853,porfa - remix,j balvin
854,"porfa remix ( feat. maluma, nicky jam, sech) - remix",j balvin
855,"mood (remix) feat. justin bieber, j balvin & iann dior",j balvin
856,location,j balvin
857,como un bebé,j balvin
858,medusa,j balvin
859,bola rebola,j balvin
860,ponle,j balvin
861,qué pena,j balvin
862,una nota,j balvin
863,machika,j balvin
864,mi cama - remix,j balvin
865,ambiente,j balvin
866,soy peor - remix,j balvin
867,de cora <3,j balvin
868,sorry - latino remix,j balvin
869,mojaita,j balvin
870,anaranjado,j balvin
871,otra noche sin ti,j balvin
872,ahora,j balvin
873,dynamite,bts
874,my universe,bts
875,butter,bts
876,boy with luv (feat. halsey),bts
877,left and right (feat. jung kook of bts),bts
878,fake love,bts
879,life goes on,bts
880,permission to dance,bts
881,dna,bts
882,euphoria,bts
883,blood sweat & tears,bts
884,spring day,bts
885,black swan,bts
886,idol,bts
887,on,bts
888,run bts,bts
889,filter,bts
890,dreamers [music from the fifa world cup qatar 2022 official soundtrack],bts
891,i need u,bts
892,the truth untold,bts
893,go go,bts
894,pied piper,bts
895,magic shop,bts
896,yet to come,bts
897,burning up (fire),bts
898,dimple,bts
899,dope,bts
900,airplane pt.2,bts
901,mikrokosmos,bts
902,save me,bts
903,anpanman,bts
904,mic drop (steve aoki remix) (full length edition),bts
905,who,bts
906,home,bts
907,make it right,bts
908,singularity,bts
909,not today,bts
910,run,bts
911,best of me,bts
912,serendipity (full length edition),bts
913,waste it on me,bts
914,epiphany,bts
915,savage love (laxed – siren beat) [bts remix],bts
916,take two,bts
917,dionysus,bts
918,make it right (feat. lauv),bts
919,silver spoon,bts
920,butterfly,bts
921,bad decisions (with bts & snoop dogg),bts
922,blue & grey,bts
923,my time,bts
924,film out,bts
925,boy in luv,bts
926,lie,bts
927,mask off,future
928,life is good (feat. drake),future
929,low life (feat. the weeknd),future
930,wait for u (feat. drake & tems),future
931,jumpman,future
932,love me,future
933,superhero (heroes & villains) [with future & chris brown],future
934,too many nights (feat. don toliver & with future),future
935,cold (feat. future),future
936,"king's dead (with kendrick lamar, future & james blake)",future
937,x (feat. future),future
938,way 2 sexy (with future & young thug),future
939,everyday,future
940,end game,future
941,like that,future
942,fine china,future
943,relationship (feat. future),future
944,loveeeeeee song,future
945,solo,future
946,puffin on zootiez,future
947,bum bum tam tam,future
948,rollin (feat. future & khalid),future
